"ge","label"
328,"ALL"
295,"ALL"
276,"ALL"
182,"ALL"
266,"ALL"
24,"ALL"
142,"ALL"
252,"ALL"
174,"ALL"
142,"ALL"
177,"ALL"
129,"ALL"
146,"ALL"
211,"ALL"
180,"ALL"
68,"ALL"
237,"ALL"
152,"ALL"
270,"ALL"
172,"ALL"
88,"ALL"
283,"ALL"
309,"ALL"
12,"ALL"
168,"ALL"
71,"ALL"
55,"ALL"
-2,"ALL"
268,"ALL"
219,"ALL"
82,"ALL"
25,"ALL"
173,"ALL"
243,"ALL"
149,"ALL"
257,"ALL"
301,"ALL"
78,"ALL"
207,"ALL"
218,"ALL"
132,"ALL"
-24,"ALL"
-36,"ALL"
255,"ALL"
316,"ALL"
54,"ALL"
81,"ALL"
38,"AML"
309,"AML"
170,"AML"
314,"AML"
319,"AML"
178,"AML"
340,"AML"
31,"AML"
396,"AML"
141,"AML"
95,"AML"
146,"AML"
431,"AML"
9,"AML"
101,"AML"
132,"AML"
318,"AML"
325,"AML"
392,"AML"
241,"AML"
193,"AML"
312,"AML"
230,"AML"
330,"AML"
337,"AML"
